Detector,Descriptor,MatchedKeypoints,DetectionTime(ms), DescriptionTime(ms), TotalTime(ms)

SHI-TOMASI + BRISK
95,7.29861,0.315052,7.61366
88,7.08769,0.24613,7.33382
80,7.06012,0.251525,7.31165
90,7.25117,0.255339,7.5065
82,7.84816,0.252981,8.10114
79,7.3276,0.24328,7.57088
85,9.05021,0.25114,9.30135
86,6.78779,0.25004,7.03783
82,7.13392,0.256542,7.39046

SHI-TOMASI + BRIEF
115,7.90104,0.276979,8.17802
111,7.21706,0.215524,7.43259
104,7.91097,0.222916,8.13389
101,7.17411,0.260313,7.43443
102,8.31931,0.287081,8.60639
102,9.08999,0.208463,9.29845
100,8.73489,0.210987,8.94587
109,7.83186,0.254062,8.08592
100,6.98068,0.233552,7.21423

SHI-TOMASI + ORB
106,7.06902,0.280747,7.34977
102,7.44238,0.215531,7.65791
99,10.139,0.262283,10.4013
102,6.97883,0.224656,7.20349
103,7.58027,0.247771,7.82804
97,8.21863,0.263057,8.48169
98,8.60552,0.210435,8.81596
104,7.77952,0.209257,7.98878
97,7.84978,0.216178,8.06596

SHI-TOMASI + FREAK
86,7.3766,0.345834,7.72243
90,7.30816,0.253155,7.56132
86,7.34208,0.242352,7.58443
88,6.8328,0.268609,7.10141
86,7.09591,0.238404,7.33431
80,7.27264,0.234648,7.50729
81,7.68941,0.25151,7.94092
86,7.04489,0.249723,7.29462
85,8.52283,0.241081,8.76391

SHI-TOMASI + SIFT
112,9.76959,0.385735,10.1553
109,11.0402,0.307589,11.3478
104,10.822,0.27728,11.0993
103,10.9291,0.276746,11.2058
99,11.2718,0.266736,11.5385
101,10.9242,0.298399,11.2226
96,11.3102,0.291818,11.602
106,11.2852,0.302179,11.5873
97,10.4719,0.265517,10.7374

HARRIS + BRISK
12,8.72233,0.157227,8.87956
10,8.46132,0.081562,8.54289
14,8.85106,0.083642,8.9347
16,9.55327,0.085999,9.63927
16,26.9436,0.123908,27.0675
17,8.32012,0.142332,8.46246
15,10.9722,0.078547,11.0507
22,9.48639,0.123555,9.60995
21,14.7981,0.13449,14.9326

HARRIS + BRIEF
14,8.57742,0.130754,8.70817
11,8.36432,0.043321,8.40764
16,8.71422,0.045867,8.76009
21,10.2408,0.069098,10.3099
23,28.7689,0.080002,28.8489
28,7.82638,0.090923,7.9173
16,10.9538,0.050376,11.0042
25,9.18539,0.07497,9.26036
24,15.4843,0.099267,15.5836

HARRIS + ORB
12,8.14637,0.108591,8.25496
12,8.36425,0.04163,8.40588
15,8.94712,0.051763,8.99888
19,8.9509,0.055666,9.00657
23,27.1872,0.085655,27.2728
21,8.10473,0.159836,8.26456
15,11.0303,0.051065,11.0813
25,10.6549,0.085045,10.7399
23,16.2992,0.075992,16.3752

HARRIS + FREAK
13,8.29766,0.164666,8.46232
12,8.64076,0.066747,8.70751
15,8.65158,0.087625,8.7392
16,9.52046,0.096125,9.61659
16,27.9971,0.114591,28.1117
21,10.0464,0.115694,10.1621
12,10.6801,0.092556,10.7727
21,11.1112,0.111816,11.223
19,14.7687,0.089559,14.8583

HARRIS + SIFT
14,11.1981,0.1162,11.3143
11,12.14,0.069378,12.2094
16,12.1235,0.068909,12.1924
20,13.4661,0.077951,13.5441
21,30.5509,0.102661,30.6536
23,11.9575,0.143171,12.1007
13,14.0444,0.063321,14.1077
24,12.4973,0.112324,12.6097
23,18.0403,0.138654,18.1789

FAST + BRISK
256,1.46451,1.08994,2.55445
243,1.46466,1.18182,2.64648
241,1.46618,1.02182,2.48801
239,1.58547,0.992533,2.57801
215,1.50713,0.955112,2.46224
251,1.50211,1.08638,2.58849
248,1.77276,1.02643,2.79919
243,1.51799,0.959528,2.47752
247,1.60528,1.46495,3.07024

FAST + BRIEF
320,1.52596,1.02697,2.55293
332,1.52914,0.944841,2.47398
299,1.69884,1.02332,2.72216
331,1.66923,1.17624,2.84547
276,1.46054,1.07427,2.53481
327,1.93473,1.14726,3.08199
324,1.63519,0.922433,2.55762
315,1.61927,1.05775,2.67702
307,1.81509,0.928912,2.744

FAST + ORB
